"0","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー","接続エラー"
"taromyoo","@taromyoo","京太郎 @taromyoo 京都と東京/埼玉近郊の神社仏閣を巡っています 京都、神社仏閣、御朱印、銭湯が好き/相互フォローいただけると嬉しいです プロフィール画像は知人に描いてもらった不動明王になった自分です","九重神社の御朱印「桜舞」 ※3月限定御朱印  ここの御朱印は通常の御朱印帳だと真ん中で絵が切れてしまうので、見開きの御朱印帳でいただきました","1818 ","209","34","0"
"kmotohiro","@kmotohiro","本広克行 / Katsuyuki Motohiro @kmotohiro 演出家、映画監督をやってます｜たくさんの仲間を募集してます【FOE オンラインサロン】https://foe.motohiro.com｜新しい表現を創るしくみ挑戦中【スーパーサピエンス】http://supersapienss.com｜【本広克行LINE公式】http://lin.ee/XQ4yVx2","『さらば、銃よ (略) 』の特番の収録に鷲見玲奈さん、赤ペン瀧川さんが司会進行をしてくれた。赤ペン瀧川らしく作品の良さを何度も語ってくれていたけど、それよりも鷲見さんのファースト＆ラスト写真集【すみにおけない】を持っている身としてはナマ鷲見さん見とれて話が入ってこなかった。#一日一呟","8.4万 ","845","84","8"
"hacchin1234","@hacchin1234","はっちん @hacchin1234 お気楽きままにやってます RT･･フォローよろしくですリプは休止中 基本FFです・素人のスマホ写真や動画(自然・空・花・風景等々) 無言フォローすいません","おはようございます 昨日の朝空","4643 ","957","175","7"
"ZP796sXrxBciicw","@ZP796sXrxBciicw","統合失調症のマイケル @ZP796sXrxBciicw 楽しい生活保護と統合失調症の日記。40代独身男性。病歴10年。精神科入院歴５回。障害者手帳３級。就労は諦めて作業所・デイケアに通ってます。貴方に幸あれ。ブヒ。","うぉおおー！彼女が欲しいーぃぃ！","733 ","557","30","0"
"harurasmile","@harurasmile","はるら - はるらすまいる - @harurasmile YouTube12万人登録。著書｢幸せを引き寄せる恋愛オラクルカードリーディング｣好評発売中。オラクルカード、コンテンツ監修。魂を癒す高波動メッセージ。ありのままのあなたの魅力を開花する、覚醒への道案内。全部OK！あなたを応援します。シンデレラプロデュース、はるらメソッド、ハピネスマインド学園長、はる友サロン主宰。7期","なにもしない日があってもいい。「なんにもしない」をする日は、心も体も休める日。罪悪感や自己嫌悪はどこかに置いて、穏やかに自分に寄り添い明日の元気を整える日にしよう。もうすぐワクワクするようなとっても素敵な日が来るから、その日に備えて、難しく考えず、なんにもしないで休んでみよう","1346 ","639","44","4"
"xxxjojo310xxx","@xxxjojo310xxx","mintblue御朱印巡り@スマホ写真部 @xxxjojo310xxx ご縁を賜り寺社巡り ＠ノンビリ低山登山一期一会の瞬間をキリトリセカイ.......マジックアワー散歩撮影御朱印備忘録最近はゆるりと城めぐり　DM","境内ではペット？の ニワトリが放し飼いで ストレスを感じる事なく 元気いっぱいで 走り回っていました  宮司さまのお話しだと 今年は例年になく スギ花粉が凄くて 箱根生まれの箱根育ちで 今まで花粉症では なかった人も初めて 花粉症になった人も いると伺いました","3061 ","117","23","0"
"ESQXeRaJCahzuk1","@ESQXeRaJCahzuk1","ウキクサ @ESQXeRaJCahzuk1 季節と共に機嫌良く過ごす......","河津桜","1.4万 ","969","394","17"
"botanicalhart","@botanicalhart","日本自給自足100%プロジェクト@トモ農園公式 @botanicalhart 現役農家がTVで言わない日本の農業、食料品の本当の話を伝えます 【YouTube】https://youtube.com/channel/UCWnSPLDV_Ya4aYTKf1bNoMg… 【サロン】http://hayatafarm.jp/salonlp/【EC】http://denshin-ec.shop","無農薬キャベツの第二弾 大きくなってきました！  #トモ農園  #無農薬　#キャベツ #食糧危機","6125 ","593","272","17"
"200cmyk","@200cmyk","タケコプター @200cmyk 岩銀赤レンガ館の右をまっすぐ行くと 白沢せんべい店さんや紺屋町番屋があります 盛岡","岩銀赤レンガ館の右をまっすぐ行くと 白沢せんべい店さんや紺屋町番屋があります 盛岡","1.7万 ","319","174","8"
"nobuaki2711","@nobuaki2711","のぶ@本業超えSNS副業術 @nobuaki2711 SNS副業での0→1をサポートします | 30年間の教師生活→ 運動教室を起業→コロナの収入減で副業に挑戦→SNSマーケティングを学び月50万の収益化→コンサル生が2ヶ月間で78万の収益化|僕をフォローすると本業超えSNS副業術をマスターできますTwitterを使って集客してお客さんに価値のあるサービスを提供する","文章にオリジナリティを落とし込むには？結論、『自分が持った疑問を解決すること』。参考書通りの文章を書いても誰かの二番煎じ。アレ欲しいな、けど〇〇はできるかな？みたいな大雑把なイメージでいい。それをコンテンツ化してしまえば唯一無二。ニッチになっていくほど一人勝ち。","2243 ","404","40","2"
"kenken_blog","@kenken_blog","けんけん@ポンコツからわくわくだけで建築士になれた人 @kenken_blog 世界一わかりやすい一級建築士「学科Ⅳ構造」の過去問解説 | S資格全国模試2位 | 建築系最高峰資格『構造設計一級建築士』?一級建築士ストレート合格 ?Fラン文系大学卒 | 毎朝7時に過去問と世界一わかりやすい解説を配信 | フォローすると曖昧な80%理解度を100%に引き上げます♪","苦手な人が多い空調設備について。 「なぜ美術館が中央方式で事務所が個別方式か」を理解すれば空調機種別や配管ルート等は芋蔓式に理解出来ると思ってます。 使える知識は暗記で詰め込むものではなく理解の後に自然と付いてくるものです。 逆に理解していないといつまでもあやふやな知識のままです。","3532 ","284","22","0"
"i_am_daishi","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー"
"gttr4500","@gttr4500","たく @gttr4500 埼玉県に住んでいます。好きなものは車ですが、温泉と甘いものに出掛けることも大好き。今はご朱印とカフェ巡りをメインに活動しています　それから、無類の車好きです。今はラングラーに乗っています。バイクも乗っていましたが、視力の関係で止めました。あと、性別には拘りません。こんな私ですが、気軽に絡んで下さい","西光寺の境内です。今週もあと1日。やや疲れ気味","1981 ","366","33","0"
"grapeand_story","@grapeand_story","ぐれふる｜30代 平凡主婦の日常 @grapeand_story 愛しくも悩める日常を発信｜まいにちが冒険｜田舎住みの平凡主婦｜4歳娘と夫の3人家族｜フォロー励みになります?","ただいま！荷造り手続きモロモロ集中してすっかり浦島太郎な気分。3月末に、平凡主婦は新たな挑戦をはじめます。異国の地で心を鍛えてきます。一皮も二皮もむけてきます。だれもが経験することじゃない。だからこそ自分が全力で日々を送ることで誰かの勇気や力になれたら。そんな想いで前進します。","907 ","931","55","1"
"gttr4500","@gttr4500","たく @gttr4500 埼玉県に住んでいます。好きなものは車ですが、温泉と甘いものに出掛けることも大好き。今はご朱印とカフェ巡りをメインに活動しています　それから、無類の車好きです。今はラングラーに乗っています。バイクも乗っていましたが、視力の関係で止めました。あと、性別には拘りません。こんな私ですが、気軽に絡んで下さい","西光寺の境内です。今週もあと1日。やや疲れ気味","1981 ","366","33","0"
"enchantoyou","@enchantoyou","えな@ハッピー子育てサポーター @enchantoyou ママが笑っていると子どもも幸せママも子どもも笑顔になるハッピーな子育て発信中子育てはイージーモードでうまくいく心理カウンセラーmasaさんから学んで子どもと夫の夢を応援しながら自分の夢も実現中高校１年長女と小学６年長男の２児のママキャンプ歴26年youtube→http://bit.ly/3DrTPeT","子どものことや自分のことで  不安や心配があるときこそ  『大丈夫！大丈夫！大丈夫！』  と言ってみてください  90%以上取り越し苦労で  終わってしまいますよ  大丈夫！大丈夫！大丈夫！","1万 ","-","101","2"
"RHN25252022/11/28","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー","アカウントエラー"
"mitsuminejinja_","@mitsuminejinja_","三峯神社（みつみねじんじゃ） @mitsuminejinja_ 埼玉県秩父市 秩父多摩甲斐国立公園内 標高約1,100mに鎮座する三峯神社公式アカウント。御祭神は『伊弉諾尊（イザナギノミコト）・伊弉册尊（イザナミノミコト）』の夫婦神。また、大口真神（オオクチノマカミ）＝オオカミを神様のお使いとしてお祀りしています。四季折々の情報、祭事情報をお伝えします。 ※基本的に返信は行いません","【日本郵便 関東支社】オリジナル フレーム切手「秩父の風景」の販売開始 #日本郵便 #郵便局 #切手 #フレーム切手 #オリジナルフレーム切手 #埼玉県 #秩父市 #秩父 #秩父雲海 #清雲寺 #しだれ桜 #羊山公園 #芝桜 #龍勢祭 #秩父橋 #秩父夜祭 #三峯神社 #秩父ミューズパーク https://japanpost.jp/information/#kitteLink…","2.9万 ","277","97","33"
"sabotage1113","@sabotage1113","さぼた @sabotage1113 Nikon Z5で風景写真を撮影しつつ神社仏閣訪問と御朱印をいただいています。世界遺産検定2級,バイク,アウトドア,たまに注意喚起したいサイバーセキュリティ情報についてつぶやきます。","隠れ狐部分を拡大  狐を右から見た姿ですね","1230 ","122","24","0"
"AdlerSalon_man","@AdlerSalon_man","アドラー心理学サロン中の人 @AdlerSalon_man 運営アカウント @PositiveSalon  運営者個人として、気軽に社会の出来事や自分の意見を発信する為に作成しました。アドラー心理学の観点や個人的な観点から、面白くて役立つ発信を頑張ります！Instagram(http://instagram.com/adlersalon_b)","前向きに生きるには「無いもの」に注目せず、「あるもの」に目を向けること。過去ではなく今を基点にして考えればいいのです。前向きになることをむずかしいと思う必要はない。","1.6万 ","346","211","33"
"_coco_007","@_coco_007","ココ｜人事・広報 @_coco_007 25歳、名古屋在住。転職2回、人事・広報をして1年半が経ちました。医療・福祉のベンチャー企業で採用や広報をやりつつ、評価や労務にも従事。ジョブホッパーとして、1企業の採用担当として、ビズリーチ推してます。年収を上げたい、市場価値を確かめたい人は是非。会員登録したら、優良企業や一流ヘッドハンターのスカウトを待つだけです。","「日焼け止めで肌荒れを起こす」と悩んでる人へ。肌がかゆくなったり赤くなるのは、主に入っている成分が原因。特に注意したいのは紫外線吸収剤です。肌の上で紫外線を吸収し熱に変え放出させる。この時の化学反応が肌への負担になります。肌が弱いひとにはプロフ最後の選び方がオススメです。","2.4万 ","-","-","-"
"sohdai_SENSAI","@sohdai_SENSAI","そうだい｜SENSAIカウンセラー @sohdai_SENSAI 繊細さん（HSP）が抱える心のイメージを例えて発信?（元）医療従事者?（現）メンタル心理カウンセラー?【初回50分無料】オンラインHSPカウンセリング『SENSAI』運営?毎週水曜21時～Space配信『#繊細ラジオ』?不定期でブログも更新?繊細さんからの無言フォロー歓迎です♪","繊細さんは常に情報過多。さまざまな情報が一度に入ってくるので、処理に時間がかかってしまう。まるで『重たいサイト』のように。なかなか動いてくれないから、相手からすごくイライラされる。応えたいのに、その圧で冷静さを失って空回りする。だからこそ、少しでも外部情報を遮断したいんですよね。","3709 ","913","44","3"
"tadanohikiniku","@tadanohikiniku","挽肉 @tadanohikiniku 厭世と劣等感の合い挽き肉。 終わりまでの呟きとため息。 生きるのが辛くて面倒くさい社会不適合者。 フォローもリムーブもご自由にどうぞ。  散文置き場→http://note.com/hikiniku8","いつまで「死にたいなんて考えてませんよ。色々ある世の中だけど楽しく生きています」みたいな態度で生きなきゃならないんだろう。死にたさは態度で示すことすら許されない。","4111 ","487","54","9"
"takeshi04031","@takeshi04031","takeshikun0403 @takeshi04031 かれこれ４５年近く全国各地の神社仏閣を巡り、参拝の証として御朱印・御首題を拝受しています。 無言フォロー失礼します","三重県いなべ市の金井神社様からお預けしてあった御朱印帳が帰ってきました。 また東京都八王子市の善龍寺様から遥拝でお願いした３月限定御首題が届きました。","376 ","475","61","2"
"iku_kosei449","@iku_kosei449","いく @iku_kosei449 R5.2月創立55周年の会社経営子宮体癌1a資格:幼稚園小学校一種免許 簿記2.3級 建築経理士2級 看取りｹｱﾊﾟｰﾄﾅｰ 高齢者傾聴ｽﾍﾟｼｬﾘｽﾄ 認知症介助士 終活ﾗｲﾌｹｱﾌﾟﾗﾝﾅｰ 趣味:車 ｺﾞﾙﾌ 資産ｿｺｿｺ合言葉happy &lucky認知症の母の介護","おはいく『病院』朝ｶﾗ愛知がんｾﾝﾀｰへ検査診察に行って来ますﾄﾞｷﾄﾞｷしながらですが安全運転で結果が如何であれ受入る準備はしてます毎回だけど病気に負けずこれからも頑張って仕事と母の介護に全力投球しますいつも暖かく見守って下さり感謝&有難うです今日もhappy &luckyに","1010 ","786","168","6"
"tomo_sedori2","@tomo_sedori2","とも赤字知らずの物販ナビゲーター @tomo_sedori2 とも現役医療従事者｜メルカリ→Amazon日用品物販外注化→毎月会社の給料超え#1枚目の画像を赤枠で囲う #メルカリで売れやすくなる方法noteプレゼント毎日6時に、物販のお得な情報をお届けフォロミー","効率的に学習するコツ"" 昼寝 ""のスゴさを知らない人が多すぎ。カリフォルニア大学の研究では「睡眠をとると、脳は乾いたスポンジのような状態になり、新しい情報がしみこみやすくなる」しかも、昼寝は夜の睡眠の3倍の効果があるとされている。でも絶対に気をつけてほしい最大の落とし穴はプロフです。","1508 ","728","182","102"
"gobo_biz","@gobo_biz","ごぼう｜50代のわくわく毎日 @gobo_biz #続き →今を受け入れることで心の自由が手に入る「今生きてることを楽しむ」って決めよう。めっちゃ楽しめ。｜50代でゼロからのサイドFIREを目指します。時間がない人の資産形成をテーマに日々の学びプロモート活動中。普通のサラリーマンが会社依存しない生き方、ハッピーマインド、たまにクスッとなるプライベートなど毎朝発信。","昨年の健康寿命の平均は男性が72.7歳、女性が75.4歳。50歳の私が健康で生きれるのは平均だと、あと1183週しかない。人生は数えるほど短い。あの時にこうすれば良かったと考えても人生にクーリングオフは効かない。後悔していてる今でさえ大切な時間を失っている。残りの人生を豊かに楽しみたいなら→","4968 ","475","261","102"
"yubeshichan300","@yubeshichan300","紀 子 @yubeshichan300 つまらないオバハンが日々の事をつぶやいています。健康の為、テクテク歩き御朱印巡り 〔結願-鎌倉観音、関東不動霊場、秩父霊場、江戸観音、坂東霊場、西国霊場、坂東秩父西国の百観音、鎌倉地蔵尊 ］#御朱印、#御城印、#100名城印、#マンホールカード、#ガーデニング、#旅、#猫、道の駅と高速のSAが好き","家に帰ったら、お土産の袋で喜ぶだいふく(*?m?)ﾌﾟｯ  そうそう、またヤサカの四つ葉タクシーに出会いました?(?????)? ﾔｯﾀ～!  スマホのカメラ起動するの遅れて、こんな写真になっちゃった(^^;;","1869 ","530","76","1"
"siki358358","@siki358358","siki心の充電カウンセラー @siki358358 機能不全家族育ち/イイコ症候群/自信・自己肯定感深海レベル/他人軸/うつ/息子4人を連れてモラハラ夫と離婚/子育て・人間関係・生きること全てに疲弊おかぴーさんと出会い奇跡の起死回生生きるのを楽にするお手伝い繊細さん、がんばり屋さん、お疲れさん、荷物を下ろして、心のエネルギー充電していかれませんか","開運アクション  3月初の一粒万倍日の今日  過去を癒やして望む未来を引き寄せる無料メルマガで  人生好転させませんか  お読みいただいた方たちは たくさんの学びや気づきを得られ  一足先に理想の未来に向かっています  あなたもぜひご一緒に  https://siki4clover.com/mentalmail/?page_id=50&preview=true…","689 ","311","31","2"
"anlabo_official","@anlabo_official","アン@ライフコーチのたまご自分にしか救えない人を救いたい、心の奥底の本音で生きる人を増やす。 @anlabo_official 大手電子部品メーカーの人事教育部門10年。並行して副業でフィットネスインストラクターを24歳から始め、30歳で完全フリーランスとして活躍。38歳で結婚とともに引退するも40歳で離婚。第3のキャリアで不動産業に飛び込むも合わず。軽やかに『得意×好き』を指南すべくライフコーチの道を選択只今修行中です","みんな死んじゃだめだ。 今日という日は、誰かが生きたかった日だ。明日朝目覚めるのも奇跡。生かされていることに感謝しよう。人の役に立つ人間になろう。","2756 ","170","19","1"
"emu_konkatsu","@emu_konkatsu","EMU（エム） @emu_konkatsu 元恋愛ベタが必死に自分磨きして1年で結婚女性経営者・ 主婦どちらも経験/海外移住→帰国。恋愛note書いてます。プライベートはインスタメイン！ID→dskch_anDMでの恋愛相談は受け付けてません。","恋愛で後悔してることとして、やっぱり  ・自分から動かなすぎて後悔 ・想いを伝えられなくて後悔 ・何もせず時間ばかり過ぎたことに後悔  こんな人が多いみたい。共通するのは「何もしなかったこと」。  当たって砕けろでも失敗してもいいから、自分から動いた方が気持ち的にはすっきり前向けるよね","2.1万 ","527","77","13"
"kOADXUbNAiDqBG5","@kOADXUbNAiDqBG5","たける【男性目線から教える復縁】 @kOADXUbNAiDqBG5 復縁へ導くプロ |男性心理×心理学| 復縁には正しい知識が必要|超依存体質のメンヘラでも『追われる女』になって復縁成功しました。累計相談者数2000名越え。期間限定で公式ラインにて、無料相談実施中です。note→ https://bit.ly/39wzxI3 メルマガ→ https://bit.ly/3b4dEQY","彼は失ってから大切さに気づきます。  普段強がっているように見えても、 いざ離れると寂しさや、 後悔が後になって募ってきます。  ですので、  別れてからすぐに連絡などは しない方が良いですし、 距離は空けた方が良いです","7912 ","940","59","5"
"nao63013944","@nao63013944","nao @nao63013944 関東、東京のお寺や神社巡りをしています。無言フォロー失礼します皆さんたくさんのフォローそしてRTありがとうございます。たまに休憩しながらトラちゃんとのんびりやって行きますこれからもよろしくお願い致します","咲いた ボケとネコたち","2991 ","203","127","3"
"yu_2005_0503","@yu_2005_0503","ゆー｜集客のプロ @yu_2005_0503 【集客・売上に繋がるTwitter運用】SNSマーケター｜業務提携2社｜60日+5000名フォロワー｜法人2社運用｜合計運用垢10件｜月商100万超2名排出｜クライアント実績：最高月商240万↑ / 月間200リード獲得｜無料相談実績100件超え｜最短でTwitterマネタイズするなら僕一択。無料相談は公式LINEへ","夢があります。最初はテロップの意味すら知らなかった生徒さん。「自分の力で稼ぐスキルを身につけたい」と”動画編集”を本気で1から学んでもらった。その結果、開始15日で初案件獲得、初月5万円を達成できた。この再現性の高さの秘訣を知りたいなら固ツイへ。月商240万円の受講生もここから爆誕したよ","【集客・売上に繋がるTwitter運用】SNSマーケター｜業務提携2社｜60日+5000名｜法人2社運用｜合計運用垢10件｜月商100万超2名排出｜クライアント実績：最高月商240万↑ / 月間200リード獲得｜無料相談実績100件超え｜最短でTwitterマネタイズするなら僕一択。無料相談は公式LINEへ","337","20","7"
"TETSU_aaa","@TETSU_aaa","笑門来福 @TETSU_aaa 一日一笑、一日一生、一日一省。 日々感謝明日は明日の風が吹く。まくとぅそーけーなんくるないさー スポーツや映画・ドラマ大好きなおっさんです機械いじりが好きで、電子ガジェットも趣味。ドライブがてらの「道の駅」スタンプラリーもやってます。全国をきままに旅してます。綺麗な物大好き心機一転、ヨロシク","#311検索はチカラになる に参加しました。ヤフーで「3.11」と検索すると、ヤフー社からおひとりにつき10円を東北支援や防災のために寄付します。#311これからもできること","1.2万 ","109","15","0"
"NE6PofR1Ns35VEk","@NE6PofR1Ns35VEk","いろっち@マスク社会おわらせよう @NE6PofR1Ns35VEk コロナももうすぐ5類、やっと4月から子ども達にマスク推奨はしないと国が方針を変えました。しかし3年間もマスクをしていた子ども達、これからマスク外しの長いリハビリが始まります。 大人の責任で、少しずつ世の中を戻していこう！","日本の応援席も素顔さん増えてるね！良い良い！","2.2万 ","895","65","1"
"myon_344","@myon_344","みょん｜シンプル王 @myon_344 【30代× シンプリスト】シンプルに生きるためのコツ、習慣、暮らしの情報を発信｜浪人→二流大学→大手外資｜すべてをシンプルにして成功した男の物語｜1日でフォロワー100人増|シンプルで生きやすくがモットー","使わないモノは3秒以内で捨てる。捨てられる人は「どんな状況が快適か」考えられる人。視界からモノが減ると気分も軽くなり、自分に必要なもの、好きなモノがわかる。お気に入りや好きなモノに囲まれるのは心地いいし、選ぶのも探すのもラク。使うものを厳選していくと、ほんとの自分が見えてくる。","【30代× シンプリスト】シンプルに生きるためのコツ、習慣、暮らしの情報を発信｜浪人→二流大学→大手外資｜すべてをシンプルにして成功した男の物語｜1日で100人増|シンプルで生きやすくがモットー","673","62","27"
"Reiwachan_JP","@Reiwachan_JP","れいわちゃん（ブラックアウト） @Reiwachan_JP この世界の創造主です","大きめの地震が来た夢を見た","1.5万 ","133","88","1"
"25aihime25","@25aihime25","あいひめ @25aihime25 いつも笑顔でワクワクときめく人生…ing　 空が好き花が好き 音楽-スポーツ-車-料理-写真  ...etc 画像付リプ?無断引用?改変転載 BIGBANGVIP.Japan"," #おはようございます 秘めた感情 #TLを花でいっぱいにしよう #ヒマラヤユキノシタ #ガーデニング （#大岩軍配?#桜鏡）#flower #写真 #ふぉと #ファインダー越しの私の世界 #写真好きな人と繋がりたい #you39RT  優しい幸せいっぱいの佳き１日を… 今日も宜しくお願いします","2321 ","194","627","67"
"ashbrown1177","@ashbrown1177","アシュレーズン @ashbrown1177 詩とは人生のどん底に落ちたときと同時に授かった宝物。 お前だけは僕を裏切ったりしない。","僕のアパートの水道水は鉄棒の味がして苦手なのだが、ただ夏場のお金が無いときはしょうがなくグラスに氷を山盛りいれて水を注ぎ、冷たさで味覚を麻痺させて冷え具合だけでも1級品にして水分を補給するという方法だった。","2090 ","299","63","2"
"sayaka_phd","@sayaka_phd","サヤカワイ @sayaka_phd シンガポール在住 | 医学博士 (京都大学) | 専門：細胞生物学 | 発表論文：Nature, PNASなど | Curriculum Specialist at NVC Singapore | 共感×対話で未来を創る教育プロジェクト | 科学や教育のことを時々つぶやきます ","組織はリーダーの器以上にはならないと言います。うなずける一方、どの規模まで適用できるか気になります。例えば国という単位では？民主主義では国民のレベル以上の政治にはならないと言い、これも説得力があります。結局、自分がリーダーであれ構成員であれ他責にするなということかもしれませんね。","1485 ","-","144","3"
"misiru_","@misiru_","見知らぬミシル @misiru_ クズ男という概念を作ったカウンセラー。電話相談1400件以上。恋愛/人間関係/クズ男/哲学/自己肯定感/コミュニケーション ISTP 元教員","昨日電子版買ってしまった。","14.4万 ","590","13","1"
"toshibunbun","@toshibunbun","としぶん｜50代をボチボチ生きる @toshibunbun 50代になってボチボチ生きています｜仕事は自宅に引きこもってWebライター｜毎朝ウォーキング｜働き方は60％｜人間関係は断捨離｜家族が一番｜PTA会長｜双極性障害の妻を #温かく無関心 でサポート｜主任ケアマネ・社会福祉士・介護福祉士｜お仕事としぶんアカ（ @toshibun_works ）","妻は結婚してから専業主婦です。約20年、一度も働くことなく子供たちに寄り添ってきました。なかなか出来ることではありません。立派です。あかんの？","3044 ","380","56","2"
"matsu_f16","@matsu_f16","しゅう@病院事務 | 朝活14年目 @matsu_f16 【毎朝、ポジティブなツイートを発信】 一部上場企業 → 中堅企業 → ベンチャー →今は総合病院に勤務 | 資格: 情報処理技術者プロマネ、医療経営士2級、介護福祉経営士1級 | 関心: 医療・介護経営、ICT、朝活(継続14年)、読書(年間240冊)、ウォーキング。","おはようございます  自分が普段、どんな口ぐせを使っているか知っていますか？  成功する人は良い口ぐせを持っているもの。  困ったときも良い口ぐせを言って乗り越えましょう  今日もツイてる  今日のタスク ・読書 ・運動 ・勉強  素敵な一日をお過ごし下さい  #朝活","3380 ","169","312","2"
"YMidori35","@YMidori35","やまがら @YMidori35 宮城県出身 埼玉県在住 晴耕雨読を夢めて奮闘中 趣味盆栽少々  ０からのスタートです","こんにちは 留守にもかかわらず 訪問していただき ありがとうこざいます 久しぶりの外出です 本当にありがとう","7639 ","287","47","0"
"__fumie0000","@__fumie0000","かとうふみえ｜ともに未来を作る占い師 @__fumie0000 西洋占星術師｜? ? ↑｜未来を逆算して行動プランを一緒に考える作戦会議型オンライン鑑定｜「ISAR友の会（""国際占星術研究協会""の文献自主翻訳グループ）」をゆるく運営｜何でも呟く全部載せアカウント｜ロヒンギャの教育団体支援  @edu_rohingya ｜牡蠣とコーヒーが好き","鑑定枠を 3/22（水）16:00~ 4/5（水）14:00～/16:00~ で出していますが、 夜も含め別の日程をご希望でしたら お申し込み後ご希望に沿うように調整いたしますのでご相談くださいませー！","3345 ","087","4","3"
"fu_kyu_","@fu_kyu_","ﾏﾙ @fu_kyu_ 最後はハッピーエンド 26ｻｲ","3週間前は何言っても既読無視、会いたいも電話も無視されて終わったけど、今回連絡して30分くらい会おうって言ったらせっかくだからご飯行こう、って言われたの、やっぱり冷却期間というか相手の嫌！って気持ちを薄める期間は必要なんだな","2276 ","513","75","2"
"lulai_lune","@lulai_lune","lulai｜双子??6歳年長??男子 @lulai_lune 2016年生まれ双子と関東に暮らすアラフォー療育手帳AでASDの双子兄は6歳になっても宇宙語ボーイ療育園×週5｜児発×週1｜訪問ST×週1｜日中一時支援×週3療育問題、育児の悩み、定型な双子弟のダンスィ発言など無言フォロー&タメ口ばっちこい！ブログは不妊治療～長期管理入院～帝王切開を公開←停止中","双子兄 絵本と水遊びが好き DQ35(2歳1ヶ月程の発達)  ◆悩み 無発語 超偏食 睡眠障害  ◆服薬 メラトベル ラキソベロン リスパダール  ◆短期目標 絵カードで文章を作る  ◆最近の成長 飲食物チャレンジ精神が出てきた 指差しや模倣が定着した ジェスチャーが増えた 歩ける距離が伸びた 情緒が安定 twitter.com/lulai_lune/sta…","4738 ","528","2","1"
"arai_LD","@arai_LD","新井清義@発達障害/学習障害の専門家 @arai_LD 発達の偏りのあるお子さんのための学習教室運営（群馬県富岡市＆高崎市）https://ldl-class.mystrikingly.com｜http://instagram.com/tomiokaldl/｜博士（小児発達学） |HP http://sumiyoshiarai.com Youtube（【学習障害のお悩み相談室】）やってます","中学校の講演を企画してくれた先生の投稿。泣ける。","5955 ","991","187","14"
"rina34_business","@rina34_business","りな｜在宅で稼ぐ30代看護師 @rina34_business 【本業以上稼ぐ看護師】夜勤やパワハラでボロボロ｜自分のペースで働きたい｜SNSマーケを学ぶ｜3か月で本業越え｜生徒さん100％医療者｜初心者から始めるSNSビジネスのノウハウ教えてます｜","忙しくてなんだかんだ見れてなかったちいかわのブルーレイようやく見れました！かわいい！最高！癒し！ほんとナガノ先生には感謝しかありません 今からはWBC観戦します","1131 ","209","15","7"
"uranai_uozaa","@uranai_uozaa","MIROR星座占い?うお座 @uranai_uozaa うお座(2/19-3/20)の人の運勢を毎日botお届けチャット占いのMIROR(https://miror.jp)もチェックしてね！LINE@でうお座の毎日の運勢を配信中(https://goo.gl/KAZfx6)","3月16日(木)のうお座  総合運 ★★★☆☆ 恋愛運 ★★★☆☆ 仕事運 ★☆☆☆☆ 金財運 ★★★☆☆  本日は第8位！  相手のために何かしてあげたくなる日！心を許せる相手と過ごすことでやりがいをもって苦手なことにも取り組めそう！情報を収集することで相手の気持ちがわかるようになる","2.2万 ","419","573","124"
"Bs_Hachi","@Bs_Hachi","ハチ｜スキル習得講座 @Bs_Hachi 【30日で稼げるフリーランスへ】Bs代表｜10ヶ月2000万円超え／最高月220万円↑／5ヶ月で1万フォロワー／法人5社運用／1プロモで売上256万円／月商100万超え4名排出／Twitterを用いた企画立案やマネタイズが得意｜受講生の6割が初月6桁を超えるスキル習得講座https://lin.ee/8GG41Uq","気をつけて！「ゴースト血管」になっていませんか?毛細血管が消えて血が全身に行きとどかなくなり「シミ」「シワ」などお肌のトラブル「冷え性」「肩こり」「認知症」の原因に。おどろくことに年齢に関係なく20代からなる人も。改善にはシナモンやルイボスティーを摂取すること。もっとおすすめなのは","【30日で稼げるフリーランスへ】Bs代表｜10ヶ月2000万円超え／最高月220万円↑／5ヶ月で1万／法人5社運用／1プロモで売上256万円／月商100万超え4名排出／Twitterを用いた企画立案やマネタイズが得意｜受講生の6割が初月6桁を超えるスキル習得講座https://lin.ee/8GG41Uq","618","168","69"
"onoderablog","@onoderablog","おのでら｜田舎のネット起業家 @onoderablog 【SNS＆ブログのおかげで田舎へ移住】起業4年目┃Twitter収益化メソッドを発信┃新卒就職 ⇒ 借金100万 ⇒ ブログ月30万稼ぐ ⇒ ツイッター開始1ヶ月で月100万稼ぐ ⇒ 独立 ┃コンサル業・コンテンツ販売・デザイン制作・アフィリエイト┃個人・法人向けコンサル実績多数｜ブログ→http://onodera58.com","僕はよくTwitterマネタイズにおいて『稼ぐのを急ぎすぎるな』と教えてます。初心者にありがちなのは早く結果を出したくてすぐ数千円のコンテンツを出してしまうこと。まずはひたすら価値提供です。無料か格安のコンテンツを出しまくって信頼積み上げて、影響力つけたらキラーコンテンツを出すんです。","5416 ","693","72","23"
